Serial,Event,Code Province,Province,Code District,District,Code Division,Division,Date (YMD),Rainfall_avg,Temp_Max,Temp_Max,Risk,Affected_Count,,Area,Damaged_houses,,OldAffected_Count
151701,FLOOD,lka009,Sabaragamuwa,lka009001,Ratnapura,lka009001027,Elapatha,10/15/2022,44.9,29.1,23,High,300,,"Ratnapura,Elapatha,Kuruvita",8,,300
1515101,FLOOD,lka010,Sabaragamuwa,lka009002,Ratnapura,lka009001028,Kuruvita,9/1/2022,42.1,29.6,23.1,High,649,,"Ratnapura,Kuruvita,Ayagama,Kiriella,Elapatha",4,,649
151392,FLOOD,lka009,Sabaragamuwa,lka009001,Ratnapura,lka009001027,Elapatha,8/1/2022,21.2,28.5,23.4,High,700,,"Elapatha,Kahawatta",15,,700
151082,FLOOD,lka009,Sabaragamuwa,lka009001,Ratnapura,lka009001012,Ratnapura,5/13/2022,54.1,30.6,24.4,High,6740,,"Ratnapura,Elapatha,Ayagama,Pelmadulla,Kuruvita,Nivithigala,Kalawana",54,,6740
150587,FLOOD,lka009,Sabaragamuwa,lka009001,Ratnapura,lka009001018,Balangoda,3/31/2022,19.8,34.2,23,Low,27,,"Balangoda,Ratnapura",7,,27
149623,FLOOD,lka009,Sabaragamuwa,lka009001,Ratnapura,lka009001027,Elapatha,11/8/2021,22.8,28.6,22.6,Low,22,,"Elapatha,Ratnapura",0,,22
149611,FLOOD,lka009,Sabaragamuwa,lka009001,Ratnapura,lka009001027,Elapatha,11/1/2021,26.5,31.1,23.3,Low,32,,"Elapatha,Ratnapura",1,,32
148988,FLOOD,lka009,Sabaragamuwa,lka009001,Ratnapura,lka009001003,Eheliyagoda,8/12/2021,20.5,29.2,23.7,Moderate,151,,"Eheliyagoda,Kuruvita,Ratnapura",22,,151
148750,FLOOD,lka009,Sabaragamuwa,lka009001,Ratnapura,lka009001033,Kalawana,7/10/2021,25.7,31,23.7,High,9103,,"Kalawana,Elapatha,Ratnapura,Pelmadulla",95,,9103
148905,FLOOD,lka009,Sabaragamuwa,lka009001,Ratnapura,lka009001012,Ratnapura,6/4/2021,37.9,31.2,23.9,Low,4809,,"Ratnapura,Kalawana,Ayagama,Kiriella,Elapatha,Eheliyagoda",422,,4809
148687,FLOOD,lka009,Sabaragamuwa,lka009001,Ratnapura,lka009001009,Kiriella,5/25/2021,33.4,29.9,24.2,Low,2921,,"Ratnapura,Elapatha,Pelmadulla,Godakawela,Kahawatta",50,,2921
148209,FLOOD,lka009,Sabaragamuwa,lka009001,Ratnapura,lka009001024,Pelmadulla,5/3/2021,31.3,33.2,23,High,457,,"Pelmadulla,Godakawela,Ratnapura,Kahawatta,Nivithigala",98,,457
144828,FLOOD,lka009,Sabaragamuwa,lka009001,Ratnapura,lka009001024,Pelmadulla,5/19/2020,37.5,31.1,24.4,High,7287,,"Pelmadulla,Opanayaka,Elapatha,Ratnapura,Kahawatta,Kiriella,Kalawana,Nivithigala,Balangoda,Kuruvita",970,,7287
142894,FLOOD,lka009,Sabaragamuwa,lka009001,Ratnapura,lka009001012,Ratnapura,8/30/2019,29.5,30.5,23.2,High,114,,Ratnapura,0,,114
142777,FLOOD,lka009,Sabaragamuwa,lka009001,Ratnapura,lka009001012,Ratnapura,8/13/2019,33.7,29.6,23.9,High,2481,,"Ratnapura,Elapatha,Kiriella",13,,2481
142444,FLOOD,lka009,Sabaragamuwa,lka009001,Ratnapura,lka009001012,Ratnapura,7/18/2019,21.3,30,23.3,High,839,,"Ratnapura,Pelmadulla",38,,839
140443,FLOOD,lka009,Sabaragamuwa,lka009001,Ratnapura,lka009001012,Ratnapura,5/20/2018,51.7,28.7,23.2,High,30270,,"Ratnapura,Elapatha,Kiriella",220,,30270
139234,FLOOD,lka009,Sabaragamuwa,lka009001,Ratnapura,lka009001027,Elapatha,9/7/2017,51.2,29,23.5,High,555,,Ratnapura,1,,555
139055,FLOOD,lka009,Sabaragamuwa,lka009001,Ratnapura,lka009001012,Ratnapura,5/26/2017,83.2,29.2,23.2,High,28383,,"Ratnapura,Pelmadulla,Elapatha,Balangoda,Opanayaka,Kolonna,Kahawatta",835,,28383
138921,FLOOD,lka010,Sabaragamuwa,lka009002,Ratnapura,lka009001013,Ratnapura,5/16/2016,48.4,29,24,High,6966,,"Ratnapura,Kiriella,Nivithigala,Godakawela,Elapatha,Kalawana,Opanayaka,Embilipitiya",116,,6966
138921,FLOOD,lka011,Sabaragamuwa,lka009003,Ratnapura,lka009001014,Ratnapura,10/8/2014,41.3,30.4,23.3,Low,80,,"Ratnapura,Elapatha,Nivithigala",13,,80
138921,FLOOD,lka011,Sabaragamuwa,lka009003,Ratnapura,lka009001014,Ratnapura,6/12/2014,23.4,30.6,24.4,High,1529,,"Ratnapura,Kiriella,Godakawela,Pelmadulla,Elapatha,Kahawatta",15,,1529
138921,FLOOD,lka012,Sabaragamuwa,lka009004,Ratnapura,lka009001015,Ratnapura,6/2/2014,44.2,30.1,23.7,High,19309,,"Kalawana,Kiriella,Imbulpe,Kuruvita,Pelmadulla,Elapatha,Eheliyagoda,Nivithigala,Kahawatta,Balangoda",173,,19309
138921,FLOOD,lka013,Sabaragamuwa,lka009005,Ratnapura,lka009001016,Ratnapura,4/28/2011,16.3,30.6,23.3,Moderate,225,,"Ratnapura,Pelmadulla",66,,225
138921,FLOOD,lka014,Sabaragamuwa,lka009006,Ratnapura,lka009001017,Ratnapura,8/15/2010,32.6,29.8,23.5,Moderate,0,,"Ratnapura,Kuruvita,Elapatha,Ayagama,Kalawana",0,,0
138921,FLOOD,lka015,Sabaragamuwa,lka009007,Ratnapura,lka009001018,Ratnapura,5/17/2010,58.3,29.6,19.9,High,6496,,"Ratnapura,Eheliyagoda,Kiriella,Elapatha,Ayagama,",25,,6496
138921,FLOOD,lka016,Sabaragamuwa,lka009008,Ratnapura,lka009001019,Ratnapura,8/17/2009,29.2,30.4,23.3,Moderate,9215,,"Ratnapura,Kiriella,Ayagama",0,,9215
138921,FLOOD,lka017,Sabaragamuwa,lka009009,Ratnapura,lka009001020,Ratnapura,6/30/2009,37.7,29.6,24.3,High,1265,,Ratnapura,0,,1265
138921,FLOOD,lka018,Sabaragamuwa,lka009010,Ratnapura,lka009001021,Ratnapura,7/18/2008,39.6,28.4,23.3,High,12200,,"Ratnapura,Elapatha,Ayagama,Kiriella,Kuruvita,Kalawana",17,,12200
138921,FLOOD,lka019,Sabaragamuwa,lka009011,Ratnapura,lka009001022,Ratnapura,5/1/2008,41.1,28.8,23.8,Moderate,370,,"Ratnapura,Kalawana,Nivithigala,Eheliyagoda",15,,370
138921,FLOOD,lka020,Sabaragamuwa,lka009012,Ratnapura,lka009001023,Ratnapura,4/29/2008,41.1,28.8,23.8,High,1753,,"Ratnapura,Eheliyagoda,Kiriella,Elapatha,Ayagama,",10,,1753
138921,FLOOD,lka021,Sabaragamuwa,lka009013,Ratnapura,lka009001024,Ratnapura,4/28/2008,41.1,28.8,23.8,High,15217,,"Ratnapura,Ayagama,Kalawana,Kiriella,Pelmadulla,Kahawatta,Elapatha",36,,15217
138921,FLOOD,lka022,Sabaragamuwa,lka009014,Ratnapura,lka009001025,Ratnapura,8/31/2007,48.9,26.7,23,High,1986,,"Ratnapura,Kiriella,Kuruvita,Ayagama",1,,1986
138921,FLOOD,lka023,Sabaragamuwa,lka009015,Ratnapura,lka009001026,Ratnapura,11/22/2005,30.8,23.1,18.6,Moderate,265,,"Ratnapura,Balangoda,Kuruvita",0,,265
138921,FLOOD,lka024,Sabaragamuwa,lka009016,Ratnapura,lka009001027,Ratnapura,4/8/2000,29.8,17.9,17.9,Moderate,280,,"Ratnapura,Balangoda",0,,280
138921,FLOOD,lka026,Sabaragamuwa,lka009018,Ratnapura,lka009001029,Ratnapura,10/7/1995,23.6,27,14.1,Low,0,,Ratnapura,0,,0
138921,FLOOD,lka027,Sabaragamuwa,lka009019,Ratnapura,lka009001030,Ratnapura,6/3/1995,27.4,26.2,14.5,High,986,,"Ratnapura,Kuruvita,Eheliyagoda",84,,986
138921,FLOOD,lka028,Sabaragamuwa,lka009020,Ratnapura,lka009001031,Ratnapura,5/5/1995,47.1,25.6,14.1,High,15140,,"Ratnapura,Godakawela,Nivithigala,Balangoda",28,,15140
138921,FLOOD,lka029,Sabaragamuwa,lka009021,Ratnapura,lka009001032,Ratnapura,10/8/1993,18,25.3,14.3,Low,0,,Ratnapura,0,,0
138921,FLOOD,lka030,Sabaragamuwa,lka009022,Ratnapura,lka009001033,Ratnapura,5/25/1993,36.9,24.9,16.3,High,19830,,"Ratnapura,Kuruvita,Ayagama,Kalawana,Elapatha",119,,19830
138921,FLOOD,lka031,Sabaragamuwa,lka009023,Ratnapura,lka009001034,Ratnapura,11/13/1992,31.5,26.3,14.6,Low,0,,"Ratnapura,Elapatha",0,,0
138921,FLOOD,lka032,Sabaragamuwa,lka009024,Ratnapura,lka009001035,Ratnapura,7/15/1992,15.4,26.6,14.1,Low,0,,Ratnapura,0,,0
138921,FLOOD,lka033,Uva,lka009025,Badulla,lka008001036,Badulla,10/29/2021,19.6,27.4,19.7,Medium,3172,,"Badulla,Ella,Welimada,Passara,Bandarawela,Lunugala,Rideemaliyadda",639,,3172
138921,FLOOD,lka037,Uva,lka009029,Badulla,lka008001040,Badulla,12/18/2012,35.2,23,19.2,Low,86,,"Badulla,Welimada,Passara",6,,86
138921,FLOOD,lka038,Uva,lka009030,Badulla,lka008001041,Badulla,3/13/2008,25.2,24.3,16.7,Medium,3651,,"Badulla,Ella,Passara,Haputale",227,,3651
138921,FLOOD,lka039,Uva,lka009031,Badulla,lka008001042,Badulla,9/15/1997,9.2,18.6,14.2,Low,0,,Badulla,0,,0
138921,FLOOD,lka040,Uva,lka009032,Badulla,lka008001043,Badulla,11/12/1992,30.3,17.2,13.9,Low,0,,Badulla,0,,0
138921,FLOOD,lka041,Uva,lka009033,Badulla,lka008001044,Badulla,1/6/1990,23.8,17.5,13.6,Low,2510,,Badulla,175,,2510
138921,FLOOD,lka046,Western,lka009038,Colombo,lka001001045,Colombo,10/14/2022,53.6,32.9,24.6,Hgh,10389,,"Colombo,Kolonnawa",0,,10389
138921,FLOOD,lka047,Western,lka009039,Colombo,lka001001046,Colombo,5/31/2022,32.6,30,25.7,High,537,,"Colombo,Sri Jayawardenapura",0,,537
138921,FLOOD,lka048,Western,lka009040,Colombo,lka001001047,Colombo,6/3/2021,61.2,30.6,26.7,High,65312,65312,"Colombo,Thimbirigasyaya,Maharagama,Kolonnawa",,,65312
138921,FLOOD,lka049,Western,lka009041,Colombo,lka001001048,Colombo,5/14/2021,50.9,31.1,25.4,Low,14159,,Colombo,265,,14159
138921,FLOOD,lka050,Western,lka009042,Colombo,lka001001049,Colombo,9/24/2019,77.9,30.2,24.1,High,18241,,"Colombo,Thimbirigasyaya,Maharagama,Kolonnawa",650,,18241
138921,FLOOD,lka051,Western,lka009043,Colombo,lka001001050,Colombo,9/16/2010,39.4,31,25,Medium,595,,"Colombo,Thimbirigasyaya",0,,595
138921,FLOOD,lka052,Western,lka009044,Colombo,lka001001051,Colombo,10/6/2018,24.6,29.8,26.4,Medium,3856,,"Colombo,Kolonnawa,Thimbirigasyaya",216,,3856
138921,FLOOD,lka053,Western,lka009045,Colombo,lka001001052,Colombo,5/25/2017,21.2,30.9,25.7,Low,19796,,"Colombo,Kolonnawa,Thimbirigasyaya",1,,19796
138921,FLOOD,lka054,Western,lka009046,Colombo,lka001001053,Colombo,5/15/2016,121.7,29.8,25.3,High,7147,,"Colombo,Kolonnawa,Sri Jayawardenapura",0,,7147
138921,FLOOD,lka055,Western,lka009047,Colombo,lka001001054,Colombo,9/30/2015,31.2,30,24.1,Low,185,185,"Colombo,Kolonnawa",0,,185
138921,FLOOD,lka056,Western,lka009048,Colombo,lka001001055,Colombo,9/28/2015,31.2,30,24.1,Low,185,185,"Colombo,Kolonnawa",,,185
138921,FLOOD,lka057,Western,lka009049,Colombo,lka001001056,Colombo,6/2/2014,20,30.4,26.6,High,3084,,"Colombo,Kolonnawa",159,,3084
138921,FLOOD,lka058,Western,lka009050,Colombo,lka001001057,Colombo,11/10/2010,66.1,30,24.5,High,268527,268527,"Colombo,Kolonnawa,Thimbirigasyaya,Sri Jayawardenapura",0,,90075
138921,FLOOD,lka059,Western,lka009051,Colombo,lka001001058,Colombo,5/18/2010,55.1,30,24.8,Medium,43305,43305,"Colombo,Kolonnawa",0,,435
138921,FLOOD,lka060,Western,lka009052,Colombo,lka001001059,Colombo,5/17/2010,55.1,30,24.8,High,43305,43305,"Colombo,Thimbirigasyaya,Kolonnawa",0,,6711
138921,FLOOD,lka061,Western,lka009053,Colombo,lka001001060,Colombo,5/14/2010,35,31.6,25.6,High,53826,53826,"Colombo,Thimbirigasyaya,Kolonnawa,Dehiwala",158,,7140
138921,FLOOD,lka062,Western,lka009054,Colombo,lka001001061,Colombo,11/18/2009,34.1,29,24,high,41811,41811,"Colombo,Thimbirigasyaya,Sri Jayawardenapura",0,,27605
138921,FLOOD,lka063,Western,lka009055,Colombo,lka001001062,Colombo,4/28/2008,9.6,30.5,26.4,High,18854,18854,"Colombo,Kolonnawa,Thimbirigasyaya,Sri Jayawardenapura",21,,2852
138921,FLOOD,lka064,Western,lka009056,Colombo,lka001001063,Colombo,10/27/2006,68,29.4,23.2,High,91381,91381,"Colombo,Sri Jayawardenapura",8,,30259
138921,FLOOD,lka065,Western,lka009057,Colombo,lka001001064,Colombo,11/22/2005,78,27.9,23.2,High,92764,92764,"Colombo,Kolonnawa,,Thimbirigasyaya",5568,,55884
138921,FLOOD,lka066,Western,lka009058,Colombo,lka001001065,Colombo,9/25/2004,38.7,28.1,24.1,Medium,875,875,"Colombo,Kolonnawa",46,,325
138921,FLOOD,lka067,Western,lka009059,Colombo,lka001001066,Colombo,10/20/2002,50.4,29,23.7,High,3710,3710,"Colombo,Kolonnawa",0,,3500
138921,FLOOD,lka068,Western,lka009060,Colombo,lka001001067,Colombo,11/6/1995,69.2,29.4,24.2,High,11000,11000,"Colombo,Kolonnawa",,,6000
138921,FLOOD,lka069,Western,lka009061,Colombo,lka001001068,Colombo,5/6/1995,69.4,31.2,24.7,High,5394,5394,"Colombo,Sri Jayawardenapura",0,,1819
138921,FLOOD,lka070,Western,lka009062,Colombo,lka001001069,Colombo,10/1/1994,44.3,29.2,24.7,High,17000,17000,"Colombo,Thimbirigasyaya",0,,5750
138921,FLOOD,lka071,Western,lka009063,Colombo,lka001001070,Colombo,5/25/1993,43.7,29.5,26.2,Medium,2625,2625,"Colombo,Thimbirigasyaya",225,,900
138921,FLOOD,lka072,Western,lka009064,Colombo,lka001001071,Colombo,6/2/1991,97.26,28.9,26.1,Low,48050,48050,"Colombo,Kolonnawa",0,,0
138921,FLOOD,lka073,Western,lka009065,Colombo,lka001001072,Colombo,11/5/1990,27.4,29.8,24.6,Medium,2500,,"Colombo,Kolonnawa",500,,2500
138921,FLOOD,lka074,Western,lka009066,Colombo,lka001001073,Colombo,6/5/1989,29.2,28.9,25.7,High,5500,,"Colombo,Kolonnawa",0,,5500
